"Index" "VZ" "MRK" "CSCO" "PG" "JPM" "KO" "MSFT" "TRV" "NKE" "WBA" "MCD" "WMT" "HD" "BA" "AXP" "UTX" "PFE" "IBM" "CVX" "JNJ" "UNH" "MMM" "DIS" "INTC" "AAPL" "XOM" "CAT"
"1991-01-02" 3.889608 4.894516 0.12011 2.667896 0.901463 1.543562 0.750222 4.131585 0.03371 1.200914 3.625243 4.700572 1.712321 11.002278 1.759518 0.741714 0.306738 8.988796 2.892974 2.782511 0.5686 5.554535 5.177233 0.609066 0.204407 2.111951 1.349616
"1991-01-03" 3.852652 4.737287 0.115306 2.640595 0.901463 1.500922 0.75524 3.98165 0.03213 1.174617 3.577543 4.700572 1.678637 10.971628 1.770379 0.732006 0.297646 9.018861 2.838013 2.752699 0.531315 5.46455 5.151607 0.609066 0.202058 2.122354 1.327906
"1991-01-04" 3.847883 4.662094 0.111874 2.613291 0.911479 1.539298 0.761513 3.973319 0.031498 1.17754 3.593444 4.641811 1.68425 11.370041 1.770379 0.735889 0.294775 8.988796 2.838013 2.732825 0.528208 5.448189 5.132383 0.613022 0.203232 2.143162 1.306197
"1991-01-07" 3.696241 4.539048 0.109129 2.558684 0.871414 1.513714 0.751477 3.964991 0.030655 1.165852 3.482143 4.543885 1.622495 10.940977 1.716073 0.712589 0.291904 8.838481 2.853001 2.648357 0.506458 5.382749 4.991418 0.607089 0.203232 2.117154 1.288105
"1991-01-08" 3.696241 4.552718 0.113247 2.554785 0.871414 1.500922 0.737677 3.98165 0.030866 1.16293 3.498042 4.56347 1.583196 10.787749 1.694351 0.698997 0.287119 8.738275 2.857999 2.673199 0.528208 5.24368 4.882491 0.601157 0.203232 2.111951 1.313434
"1991-01-09" 3.677288 4.498032 0.112561 2.492378 0.841365 1.466809 0.742695 3.948331 0.030655 1.189227 3.498042 4.465544 1.58881 10.726453 1.683489 0.671814 0.288076 8.567917 2.838013 2.608606 0.512672 5.137333 4.844046 0.607089 0.21263 2.075538 1.295342
"1991-01-10" 3.734151 4.559555 0.113933 2.52358 0.861398 1.492394 0.78535 3.865032 0.031603 1.174617 3.529841 4.543885 1.639337 11.03292 1.770379 0.683464 0.288554 8.688167 2.848006 2.678167 0.5251 5.210958 4.908122 0.613022 0.221441 2.096345 1.317052
"1991-01-11" 3.781539 4.573228 0.112561 2.504077 0.881431 1.509451 0.782841 3.964991 0.030655 1.180461 3.450341 4.661399 1.650566 11.06357 1.748656 0.689289 0.287119 8.668125 2.813029 2.698043 0.531315 5.341843 4.895307 0.628841 0.220854 2.075538 1.331525
"1991-01-14" 3.715196 4.53221 0.113933 2.61081 0.851381 1.513714 0.770295 3.898352 0.029918 1.17754 3.40264 4.56347 1.661793 10.879683 1.705211 0.675697 0.285683 8.557896 2.853001 2.703012 0.540636 5.350024 4.94841 0.624887 0.217329 2.08074 1.327906
"1991-01-15" 3.743629 4.566389 0.122513 2.62723 0.871414 1.513714 0.786604 3.890021 0.031077 1.168773 3.450341 4.56347 1.695478 10.818394 1.694351 0.677639 0.288554 8.618018 2.887978 2.70798 0.556172 5.317305 4.909241 0.638729 0.219679 2.075538 1.401212
"1991-01-16" 3.686764 4.634749 0.128347 2.639545 0.881431 1.53077 0.825495 3.865032 0.032235 1.168773 3.434441 4.680984 1.734778 11.124865 1.726934 0.69123 0.296211 8.748294 2.917957 2.757669 0.571707 5.309123 5.020221 0.666414 0.233776 2.070336 1.332488
"1991-01-17" 3.961613 4.805646 0.134524 2.725749 0.881431 1.628841 0.843059 3.923344 0.034974 1.197992 3.657045 4.994356 1.807763 11.829738 1.813823 0.739772 0.308652 9.279408 2.897972 2.842137 0.587243 5.579078 5.313992 0.664436 0.240824 2.117154 1.393577
"1991-01-18" 4.037434 4.839827 0.136583 2.692909 0.891447 1.658689 0.855605 4.014969 0.036238 1.212602 3.720644 5.053113 1.83022 12.074925 1.802962 0.739772 0.307217 9.429721 2.887978 2.857044 0.599671 5.62816 5.385802 0.692121 0.236125 2.148364 1.359214
"1991-01-21" 4.094298 4.791976 0.144819 2.66828 0.941528 1.63737 0.89826 4.056619 0.03666 1.227211 3.657045 4.935598 1.847062 11.891041 1.802962 0.72618 0.313916 9.590054 2.897972 2.866982 0.608992 5.587255 5.327049 0.711896 0.238475 2.132758 1.359214
"1991-01-22" 3.791017 4.791976 0.14173 2.635439 1.001626 1.63737 0.891986 3.998311 0.036028 1.230134 3.657045 4.876842 1.83022 11.553923 1.781241 0.677639 0.319659 9.459779 2.877987 2.852076 0.6121 5.562716 5.196484 0.692121 0.240824 2.117154 1.309579
